"S_ID","S_Bundesland","S_Name","OrteimGebiet","Tourismusregion","Schiverbund","seehoehevon","seehoehebis","Pistenkm","S_gondeln","S_sessel","S_schlepp"
104,"Stm","Elfenberg","Mautern in Steiermark","","",704,1020,4,0,1,0
105,"Stm","Feichteck-Brandlucken","St. Kathrein am Offenegg","","",1050,1220,3,0,0,1
106,"Stm","Gaaler Lifte","Gaal, Knittelfeld","","",860,1230,5,0,1,2
107,"Stm","Gaberl-Stubalpe","Salla","","",800,1550,18,0,0,6
108,"Stm","Galsterbergalm","Pruggern","Schladming–Dachstein / Ski amadé","",700,1649,20,1,1,4
109,"Stm","Grebenzen","Sankt Lambrecht","","",1000,1900,23,0,1,5
110,"Stm","Gruber Lifte","Steinhaus am Semmering","","",938,1160,4.5,0,0,2
111,"Stm","Hauereck","St. Kathrein am Hauenstein","","",1000,1305,5,0,1,1
112,"Stm","Hauser Kaibling","Haus im Ennstal","Schladming–Dachstein / Ski amadé","",728,2015,37,2,5,4
113,"Stm","Hebalm","Pack","","",1050,1400,11,0,1,5
114,"Stm","Hebalm-Kluglifte","Deutschlandsberg","","",1350,1450,3,0,0,2
115,"Stm","Hirschegg","Hirschegg","","",950,1300,5,0,1,5
116,"Stm","Hohentauern","Hohentauern","","",1250,1800,12,0,0,5
117,"Stm","Kaiserau","Rottenmann, Admont","","",1127,1500,3,0,0,3
118,"Stm","Kleinlobming","Knittelfeld","","",764,1000,2,0,0,2
119,"Stm","Kreischberg","St. Georgen ob Murau","","",870,2118,29,1,3,5
120,"Stm","Lachtal","Schönberg-Lachtal, Judenburg","","",1600,2222,29,0,1,7
121,"Stm","Lammeralm","Langenwang","","",900,1450,8,0,1,3
122,"Stm","Loser-Altaussee","Altaussee","Salzkammergut-Ausseerland / Schneebärenland","",800,1800,15,0,3,5
123,"Stm","Mariazeller Land","Mariazell","","",800,1623,26,1,4,3
124,"Stm","Modriach-Winkel","Modriach","","",1000,1230,5,0,0,4
125,"Stm","Mönichwald-Hochwechsel","Mönichwald","","",1000,1300,4,0,0,3
126,"Stm","Murauer Frauenalpe","Murau","","",1500,2000,10,0,0,5
127,"Stm","Niederalpl","Mürzsteg","","",783,1460,8,0,1,3
128,"Stm","Oberes Murtal-Spitzerlift","St. Lorenzen bei Knittelfeld","","",990,1000,3,0,0,2
129,"Stm","Parfußwirt","Trahütten, Deutschlandsberg","","",700,1100,4,0,0,1
130,"Stm","Planai–Hochwurzen","Schladming","Schladming–Dachstein / Ski amadé","",745,1894,132,4,13,17
131,"Stm","Planneralm Snowvally","Donnersbach, Irdning","Schladming–Dachstein / Schneebärenland","",1600,2200,15,0,2,3
132,"Stm","Präbichl","Vordernberg","","",1116,1911,17,0,3,3
133,"Stm","Ramsau-Dachsteingletscher","Ramsau am Dachstein","Schladming–Dachstein / Ski amadé","",1100,2700,23,1,3,20
134,"Stm","Reiteralm","Pichl-Gleiming","Schladming–Dachstein / Ski amadé","",782,1860,30,1,3,7
135,"Stm","Rieseralm","Obdach","","",1310,1520,10,0,0,4
136,"Stm","Riesneralm","Donnersbachwald","Salzkammergut-Ausseerland / Schneebärenland","",980,1990,25,0,2,1
137,"Stm","Salzstiegl","Hirschegg","","",1310,1710,12,0,0,6
138,"Stm","Schöckel","Sankt Radegund bei Graz","","",1045,1445,2,1,0,1
139,"Stm","Seewiesen-Seeberg","Seewiesen","","",1000,1300,7,0,0,3
140,"Stm","Sommeralm-Holzmeister","Breitenau am Hochlantsch","","",1240,1400,3,0,0,2
141,"Stm","Sommeralm-Pirstingerkogel","Fladnitz an der Teichalm","","",1320,1400,3,0,0,1
142,"Stm","Sonnberglifte","Wald am Schoberpass","","",850,1200,12,0,0,3
143,"Stm","St. Jakob im Walde","St. Jakob im Walde","","",1000,1200,4,0,0,3
144,"Stm","Stoderzinken","Gröbming","Schladming–Dachstein / Ski amadé","",1700,2048,8,0,0,4
145,"Stm","Strallegg","Strallegg","","",900,900,3,0,0,2
146,"Stm","Stuhleck","Spital am Semmering","","",782,1640,20,0,2,6
147,"Stm","Tauplitzalm","Tauplitz, Bad Mitterndorf","Salzkammergut-Ausseerland / Schneebärenland","",900,2000,40,0,4,15
148,"Stm","Teichalm","Fladnitz an der Teichalm","","",1200,1450,3,0,0,3
149,"Stm","Tonnerhütte","Mühlen","","",1650,1820,4,0,0,1
150,"Stm","Turnau-Schwabenberarena","Turnau","","",780,1150,4,0,0,3
151,"Stm","Wenigzell","Wenigzell","","",940,1140,2,0,0,2
152,"Stm","Wimmerlift","Eggersdorf bei Graz, Gleisdorf","","",450,500,1,0,0,2
153,"Tir","Achensee-Maurach","Maurach","","",980,1848,14,1,2,1
154,"Tir","Achensee-Pertisau","Pertisau","","",950,1496,16,1,0,7
155,"Tir","Alpbachtal","Alpbach, Reith im Alpbachtal, Inneralpbach","","",670,2025,45,2,7,10
