"COV19";"COVID-19";;;"I";;;;;;;;;"L99";1.00000;;;;;;;;
"D";"DEUTSCH";;;;;;;;;;;;"L1";1.16700;;"B";;;;;;
"DAKO";"DARSTELLUNG UND KOMPOSITION";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"DAT";"Darstellungstechniken";;;;;;;;;;;;"L1";1.16700;;;;;;"DEGM";;
"DBI1";"Datenbank- und Informationssysteme";;;;;;;;;;;;"L1";1.16700;;;;;;"DBI_1";;
"DBI1x";"Datenbank- und Informationssysteme x-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"DBI_1";;
"DBI1y";"Datenbank- und Informationssysteme y-Gruppe";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"DBI_1";;
"DBI2x";"Datenbank- und Informationssysteme x-Gruppe";;;;;;;;;;;;"L2";1.10500;;;0;8454143;;"DBI_2";;
"DBI2y";"Datenbank- und Informationssysteme y-Gruppe";;;;;;;;;;;;"L2";1.10500;;;0;8454143;;"DBI_2";;
"DEGM";"DESSINATUR-GEWEBE-U.MASCHENTECHNIK";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"DESD";"DESSINATUR-DRUCKTECHNIK";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"DEST";"DESIGNTHEORIE";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"DIR";"ENTLASTUNGSSTUNDEN - Direktor";;;"I";;;;;;;;;"L3";1.05000;"Entl.";;;;;;;
"DIWE";"Digitale Werkzeuge";;;;;;;;;;;;"L1";1.16700;;;;;;"DEGM";;
"DKO2";"DESIGN UND KOMMUNIKATION";;;;;;;;;;;;"L2";1.10500;;;;;;;;
"DKO2x";"Design und Kommunikation";;;;;;;;;;;;"L2";1.10500;;;0;8454143;;"DEST";;
"DKO2y";"Design und Kommunikation";;;;;;;;;;;;"L2";1.10500;;;0;8454143;;"DEST";;
"DUK";"DEUTSCH U. KOMM.";;;;;;;;;;;;"L1";1.16700;;;;;;;;
"DUKx";"Deutsch u. Komm.";;;;;;;;;;;;"L1";1.16700;;;0;8454143;;"DUK";;
