"3AHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"A1.17";;;;;;;;;;"11";"2";;3;18;"8790";;;"Zlabinger";;;;;;1.00000;;"STM";;0;
"3BHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"A1.15";;;;;;;;;;"11";"2";;3;16;"8790";;;"Zlabinger";;;;;;1.00000;;"GRM";;0;
"4AHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"WAKL";;;;;;;;;;"12";"2";;5;22;"8790";;;"Zlabinger";;;;;;1.00000;;"NI";;0;
"4BHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"A1.16";;;;;;;;;;"12";"2";;3;24;"8790";;;"Zlabinger";;;;;;1.00000;;"ZIM";;0;
"5AHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"AH.26";;;;;;;;;;"13";"2";;2;19;"8790";;"20220501";"Zlabinger";;;;;;1.00000;;"MAH";;0;
"2AAIF";"Aufbaulehrgang f. Informatik - Tag";;"C3.10";;;;;;;;;;"51";"4s";"1100";5;25;"8167";"20220214";;"Steinwender";;;;;;1.10000;;"LEV";"B5.09";0;
"2BAIF";"Aufbaulehrgang f. Informatik - Tag";;"C3.11";;;;;;;;;;"51";"4s";"1100";4;21;"8167";"20220214";;"Steinwender";;;;;;1.10000;;"SB";"B5.08";0;
"2CAIF";"Aufbaulehrgang f. Informatik - Tag";;"C4.07";;;;;;;;;;"51";"4s";"1100";7;16;"8167";"20220214";;"Steinwender";;;;;;1.10000;;"SWA";"C5.10";0;
"2DAIF";"Aufbaulehrgang f. Informatik - Tag";;"C4.08";;;;;;;;;;"51";"4s";"1100";6;20;"8167";"20220214";;"Steinwender";;;;;;1.10000;;"EDJ";"C4.14";0;
"3AKIF";"Kolleg f. Informatik - Tag";"A";"C2.14";;;;;;;;;;"21";"4w";"1000";23;10;"8242";;"20220213";"Steinwender";;;;;;1.00000;;"CHA";"B2.08";0;
"3BKIF";"Kolleg f. Informatik - Tag";"A";"C2.09";;;;;;;;;;"21";"4w";"1000";11;19;"8242";;"20220213";"Steinwender";;;;;;1.00000;;"BIG";"C4.07";0;
"4AKIF";"Kolleg f. Informatik - Tag";;"C2.14";;;;;;;;;;"22";"4s";"1100";23;10;"8242";"20220214";;"Steinwender";;;;;;1.10000;;"CHA";"B2.08";0;
"4BKIF";"Kolleg f. Informatik - Tag";;"C2.09";;;;;;;;;;"22";"4s";"1100";11;19;"8242";"20220214";;"Steinwender";;;;;;1.10000;;"BIG";"C4.07";0;
"3AAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;;;;;;;;;;"51";"4w";"1000";4;26;"8167";;"20220213";"Steinwender";;;;;;1.00000;;"WES";;0;
"3BAIF";"Aufbaulehrgang f. Informatik - Tag";"A";"C2.08";;;;;;;;;;"51";"4w";"1000";2;21;"8167";;"20220213";"Steinwender";;;;;;1.00000;;"EN";"C4.09";0;
"3CAIF";"Aufbaulehrgang f. Informatik - Tag";"A";"C2.10";;;;;;;;;;"51";"4w";"1000";4;25;"8167";;"20220213";"Steinwender";;;;;;1.00000;;"PUC";"C4.08";0;
"4AAIF";"Aufbaulehrgang f. Informatik - Tag";;;;;;;;;;;;"52";"4s";"1100";4;26;"8167";"20220214";;"Steinwender";;;;;;1.10000;;"WES";;0;
"4BAIF";"Aufbaulehrgang f. Informatik - Tag";;"C2.10";;;;;;;;;;"52";"4s";"1100";2;21;"8167";"20220214";;"Steinwender";;;;;;1.10000;;"EN";"C4.09";0;
"4CAIF";"Aufbaulehrgang f. Informatik - Tag";;"C2.10";;;;;;;;;;"52";"4s";"1100";4;25;"8167";"20220214";;"Steinwender";;;;;;1.10000;;"PUA";"C4.09";0;
"5AKIF";"Kolleg f. Informatik - Tag";"A";"C2.11";;;;;;;;;;"23";"4w";"1000";17;17;"8242";;"20220213";"Steinwender";;;;;;1.00000;;"SRM";"C5.06";0;
"5BKIF";"Kolleg f. Informatik  - Tag";"A";"C3.08";;;;;;;;;;"23";"4w";"1000";15;8;"8242";;"20220213";"Steinwender";;;;;;1.00000;;"PT";"C3.06";0;
"6AKIF";"Kolleg f. Informatik - Tag";;"C2.11";;;;;;;;;;"24";"4s";"1100";17;17;"8242";"20220214";;"Steinwender";;;;;;1.10000;;"SRM";"C5.06";0;
"6BKIF";"Kolleg f. Informatik - Tag";;"C3.08";;;;;;;;;;"24";"4s";"1100";15;8;"8242";"20220214";;"Steinwender";;;;;;1.10000;;"PT";"C3.06";0;
"5AAIF";"Aufbaulehrgang f. Informatik - Tag";"A";"C3.09";;;;;;;;;;"52";"4w";"1000";1;29;"8167";;"20220213";"Steinwender";;;;;;1.00000;;"WAG";"C5.08";0;
"5BAIF";"Aufbaulehrgang f. Informatik - Tag";"A";"C3.07";;;;;;;;;;"52";"4w";"1000";4;30;"8167";;"20220213";"Steinwender";;;;;;1.00000;;"AT";"C3.09";0;
"6AAIF";"Aufbaulehrgang f. Informatik - Tag";;"C3.09";;;;;;;;;;"53";"4s";"1100";1;29;"8167";"20220214";;"Steinwender";;;;;;1.10000;;"WAG";"C5.08";0;
"6BAIF";"Aufbaulehrgang f. Informatik - Tag";;"C3.07";;;;;;;;;;"53";"4s";"1100";4;30;"8167";"20220214";;"Steinwender";;;;;;1.10000;;"AT";"C3.09";0;
"1AFITN";"FS f. Informationstechnik";;"C2.14";;;;;;;;;;"9";"5";;3;29;"5836";;;"Hesina";;;;;;1.00000;;"TK";;0;
"1BFITM";"FS f. Informationstechnik";;"B5.11";;;;;;;;;;"9";"5";;0;30;"5834";;;"Hesina";;;;;;1.00000;;"PUA";;0;
"2AFITN";"FS f. Informationstechnik";;"B5.07";;;;;;;;;;"10";"5";;1;22;"5836";;;"Hesina";;;;;;1.00000;;"BOB";;0;
"2BFITM";"FS f. Informationstechnik";;"C2.11";;;;;;;;;;"10";"5";;0;25;"5834";;;"Hesina";;;;;;1.00000;;"ZOE";;0;
"3AFITN";"FS f. Informationstechnik";;"WAKL";;;;;;;;;;"11";"5";;1;21;"5836";;;"Hesina";;;;;;1.00000;;"NWV";;0;
"3BFITM";"FS f. Informationstechnik";;"C2.10";;;;;;;;;;"11";"5";;0;24;"5834";;;"Hesina";;;;;;1.00000;;"IR";;0;
"4AFITM";"FS f. Informationstechnik";;"WAKL";;;;;;;;;;"12";"5";"1000";0;13;"5834";;"20220213";"Hesina";;;;;;1.00000;"4YFITM";"NAI";;0;
"4AFITN";"FS f. Informationstechnik";;"WAKL";;;;;;;;;;"12";"5";"1000";0;6;"5836";;"20220213";"Hesina";;;;;;1.00000;"4YFITM";"NAI";;0;
"1AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C5.09";;;;;;;;;;"9";"5a";;17;16;"8718";;;"Hesina";;;;;;1.00000;;"AT";;0;
"1BHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C5.10";;;;;;;;;;"9";"5a";;18;15;"8718";;;"Hesina";;;;;;1.00000;;"ZEP";;0;
"2AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C2.09";;;;;;;;;;"10";"5a";;17;13;"8718";;;"Hesina";;;;;;1.00000;;"BOK";;0;
"2BHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C2.07";;;;;;;;;;"10";"5a";;14;15;"8718";;;"Hesina";;;;;;1.00000;;"PIR";;0;
"3AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"WAKL";;;;;;;;;;"11";"5a";;11;9;"8718";;;"Hesina";;;;;;1.00000;;"BAR";;0;
"3BHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C2.08";;;;;;;;;;"11";"5a";;9;17;"8718";;;"Hesina";;;;;;1.00000;;"MUE";;0;
