53;"2DHIF";"STJ";"BWM3";"C3.11";4;3;;
54;"4AHIF";"BIM";"BWM3";"C4.08";1;3;;
55;"2CHIF";"FRF";"BWM2";"C5.08";1;4;;
55;"2CHIF";"FRF";"BWM2";"C5.08";2;3;;
56;"1AVIF";"PUA";"GINF";"B3.08MF";3;13;;
56;"1AVIF";"PUA";"GINF";"B3.08MF";3;14;;
57;"2AFITN";"RRN";"SYT";"C4.07";2;7;;
60;"5AKKUI";"VUV";"DAT";"A2.04";5;1;;
60;"5AKKUI";"VUV";"DAT";"A2.04";5;2;;
60;"5AKKUI";"VUV";"DAT";"A2.04";5;3;;
60;"5AKKUI";"VUV";"DAT";"A2.04";5;4;;
60;"5AKKUI";"POD";"DAT";"A2.04";5;1;;
60;"5AKKUI";"POD";"DAT";"A2.04";5;2;;
60;"5AKKUI";"POD";"DAT";"A2.04";5;3;;
60;"5AKKUI";"POD";"DAT";"A2.04";5;4;;
63;"5AKKUI";"HOH";"DEST";"A2.04";2;7;;
63;"5AKKUI";"HOH";"DEST";"A2.04";2;8;;
64;"5AKKUI";"STK";"KGKP";"A2.04";3;2;;
64;"5AKKUI";"STK";"KGKP";"A2.04";3;3;;
65;"6AKKUI";"HOH";"DEST";"A2.04";2;7;;
65;"6AKKUI";"HOH";"DEST";"A2.04";2;8;;
66;"6AKKUI";"STK";"KGKP";"A2.04";3;2;;
66;"6AKKUI";"STK";"KGKP";"A2.04";3;3;;
67;"6AKKUI";"HAD";"KWI";"A2.04";3;9;;
67;"6AKKUI";"HAD";"KWI";"A2.04";3;10;;
69;"5AHKUI";"KNT";"KGKP";"A2.13";2;6;;
69;"5AHKUI";"KNT";"KGKP";"A2.13";2;7;;
70;"5AKKUI";"VVL";"TE1";"A2.04";3;4;;
70;"5AKKUI";"VVL";"TE1";"A2.04";3;5;;
71;"6AKKUI";"VVL";"TE1";"A2.04";3;4;;
71;"6AKKUI";"VVL";"TE1";"A2.04";3;5;;
72;"5AHKUI";"BIG";"WIRE";"A2.13";5;1;;
72;"5AHKUI";"BIG";"WIRE";"A2.13";5;2;;
73;"2AFITN";"STC";"NWT1";"B5.07";5;7;;
74;"1AHIF";"DOM";"SOPK";"C1.17";5;1;;
74;"1AHIF";"BLJ";"SOPK";"C1.17";5;1;;
76;"2BHIF";"RX";"POS1";"C3.07";1;2;;
77;"1CHIF";"RX";"POS1x";"B4.17MF";4;7;;
77;"1CHIF";"RX";"POS1x";"B4.17MF";4;8;;
77;"1CHIF";"RX";"POS1x";"B4.17MF";4;9;;
77;"1CHIF";"LC";"POS1y";"B4.16MF";4;7;;
77;"1CHIF";"LC";"POS1y";"B4.16MF";4;8;;
77;"1CHIF";"LC";"POS1y";"B4.16MF";4;9;;
77;"1CHIF";"KNM";"POS1z";"B4.15MF";4;7;;
77;"1CHIF";"KNM";"POS1z";"B4.15MF";4;8;;
77;"1CHIF";"KNM";"POS1z";"B4.15MF";4;9;;
79;"3ABIF";"HAS";"E1";"C2.07";1;11;;
79;"3ABIF";"HAS";"E1";"C2.07";1;12;;
80;"1EHIF";"PK";"SOPK";"C1.13";1;8;;
80;"1EHIF";"SWA";"SOPK";"C1.13";1;8;;
82;"1AFITN";"IR";"INSI_1x";"B3.06MF";1;5;;
82;"1AFITN";"IR";"INSI_1x";"B3.06MF";1;6;;
82;"1AFITN";"IR";"INSI_1x";"B4.12MF";3;4;;
82;"1AFITN";"BOB";"INSI_1y";"B4.14MF";1;5;;
82;"1AFITN";"BOB";"INSI_1y";"B4.14MF";1;6;;
82;"1AFITN";"BOB";"INSI_1y";"B4.14MF";3;4;;
4175;"2AHMNA";"BEC";"MPAN";"A3.13";2;5;;
4175;"2AHMNA";"BEC";"MPAN";"A3.13";2;6;;
4175;"2AHMNA";"LAM";"MPAN";"A3.13";2;5;;
4175;"2AHMNA";"LAM";"MPAN";"A3.13";2;6;;
85;"1BHIF";"SCG";"POS1x";"B4.15MF";3;1;;
85;"1BHIF";"SCG";"POS1x";"B4.15MF";3;2;;
85;"1BHIF";"SCG";"POS1x";"B4.15MF";3;3;;
85;"1BHIF";"FZ";"POS1y";"B4.16MF";3;1;;
85;"1BHIF";"FZ";"POS1y";"B4.16MF";3;2;;
85;"1BHIF";"FZ";"POS1y";"B4.16MF";3;3;;
85;"1BHIF";"RX";"POS1z";"B4.17MF";3;1;;
85;"1BHIF";"RX";"POS1z";"B4.17MF";3;2;;
85;"1BHIF";"RX";"POS1z";"B4.17MF";3;3;;
87;"5ACMNA";"DYP";"MTAI";"A3.19";4;13;;
87;"5ACMNA";"DYP";"MTAI";"A3.19";4;14;;
87;"5ACMNA";"EIA";"MTAI";"A3.19";4;13;;
87;"5ACMNA";"EIA";"MTAI";"A3.19";4;14;;
88;"5ACMNA";"HOR";"MTAI";"A2.13";1;11;;
88;"5ACMNA";"HOR";"MTAI";"A2.13";1;12;;
88;"5ACMNA";"DOB";"MTAI";"A3.19";1;11;;
88;"5ACMNA";"DOB";"MTAI";"A3.19";1;12;;
89;"5ACMNA";"ERS";"MTKG";"A3.19";3;15;;
89;"5ACMNA";"ERS";"MTKG";"A3.19";3;16;;
90;"5ACMNA";"SCJ";"MGAN";"A3.19";2;13;;
90;"5ACMNA";"SCJ";"MGAN";"A3.19";2;14;;
90;"5ACMNA";"SCJ";"MGAN";"A3.19";2;15;;
90;"5ACMNA";"STS";"MGAN";"A3.19";2;13;;
90;"5ACMNA";"STS";"MGAN";"A3.19";2;14;;
90;"5ACMNA";"STS";"MGAN";"A3.19";2;15;;
3952;"4AHIF";"AH";"NVS1x";"B3.11NW";4;8;;
3952;"4AHIF";"AH";"NVS1x";"B3.11NW";4;9;;
3952;"4AHIF";"STA";"NVS1y";"B3.12NW";4;8;;
3952;"4AHIF";"STA";"NVS1y";"B3.12NW";4;9;;
91;"2AHMNA";"STK";"GGP";"A3.13";3;4;;
91;"2AHMNA";"STK";"GGP";"A3.13";4;2;;
93;"4AHIF";"AH";"NVS1x";"B3.11NW";4;8;;
93;"4AHIF";"AH";"NVS1x";"B3.11NW";4;9;;
93;"4AHIF";"KEM";"NVS1y";"B3.12NW";4;8;;
93;"4AHIF";"KEM";"NVS1y";"B3.12NW";4;9;;
94;"1AHIF";"STC";"CABS_1";"C1.17";5;5;;
100;"1AHIF";"SCG";"POS1";"C1.17";5;8;;
100;"1AHIF";"SCG";"POS1";"C1.17";5;9;;
101;"2AHMNA";"KY";"AM";"A3.13";3;3;;
101;"2AHMNA";"KY";"AM";"A3.13";5;8;;
102;"1BHIF";"SCG";"POS1";"C1.13";5;1;;
102;"1BHIF";"SCG";"POS1";"C1.13";5;2;;
103;"1CHIF";"RX";"POS1";"C4.14";5;3;;
103;"1CHIF";"RX";"POS1";"C4.14";5;4;;
104;"1EHIF";"PUZ";"POS1";"C1.13";3;1;;
