62;"2AHIF";"FRF";"BWM2";"C4.07";1;6;;
62;"2AHIF";"FRF";"BWM2";"B5.07";5;1;;
63;"2BHIF";"ENU";"BWM1";"C3.08";5;2;;
4478;"2DHIF";"HAU";"BWM1";"C2.14";4;5;;
64;"2DHIF";"HAU";"BWM1";"C4.08";1;6;;
66;"4AHIF";"ENU";"BWM1";"C3.07";4;4;;
66;"4AHIF";"SCW";"BWM1";"C3.07";4;4;;
68;"2CHIF";"HL";"BWM2";"C4.08";5;2;;
68;"2CHIF";"HL";"BWM2";"C4.08";5;3;;
69;"1AVIF";"PUA";"GINF";"C3.14";2;13;;
70;"2AFITN";"OEZT";"SYT";"B5.12";2;7;;
74;"5AKKUI";"TOM";"DAT";"A2.04";3;6;;
74;"5AKKUI";"TOM";"DAT";"A2.04";3;7;;
74;"5AKKUI";"TOM";"DAT";"A2.04";3;8;;
74;"5AKKUI";"TOM";"DAT";"A2.04";3;9;;
74;"5AKKUI";"PRK";"DAT";"A2.04";3;6;;
74;"5AKKUI";"PRK";"DAT";"A2.04";3;7;;
74;"5AKKUI";"PRK";"DAT";"A2.04";3;8;;
74;"5AKKUI";"PRK";"DAT";"A2.04";3;9;;
75;"5AKKUI";"MAT";"DIWE";"A2.04";2;5;;
75;"5AKKUI";"MAT";"DIWE";"A2.04";2;6;;
75;"5AKKUI";"MAT";"DIWE";"A2.04";2;7;;
75;"5AKKUI";"ZEI";"DIWE";"A2.04";2;5;;
75;"5AKKUI";"ZEI";"DIWE";"A2.04";2;6;;
75;"5AKKUI";"ZEI";"DIWE";"A2.04";2;7;;
80;"6AKKUI";"ERS";"DIWE";"A2.04";2;5;;
80;"6AKKUI";"ERS";"DIWE";"A2.04";2;6;;
80;"6AKKUI";"ERS";"DIWE";"A2.04";2;7;;
80;"6AKKUI";"ZEI";"DIWE";"A2.04";2;5;;
80;"6AKKUI";"ZEI";"DIWE";"A2.04";2;6;;
80;"6AKKUI";"ZEI";"DIWE";"A2.04";2;7;;
81;"5AKKUI";"HOH";"DEST";"A2.04";5;1;;
81;"5AKKUI";"HOH";"DEST";"A2.04";5;2;;
82;"5AKKUI";"STK";"KGKP";"A2.04";3;3;;
82;"5AKKUI";"STK";"KGKP";"A2.04";3;4;;
83;"6AKKUI";"HOH";"DEST";"A2.04";5;1;;
83;"6AKKUI";"HOH";"DEST";"A2.04";5;2;;
84;"6AKKUI";"STK";"KGKP";"A2.04";4;2;;
84;"6AKKUI";"STK";"KGKP";"A2.04";4;3;;
86;"6AKKUI";"HAD";"KWI";"A2.04";2;3;;
86;"6AKKUI";"HAD";"KWI";"A2.04";2;4;;
88;"5AHKUI";"BAE";"KGKP";"A2.13";3;1;;
88;"5AHKUI";"BAE";"KGKP";"A2.13";3;2;;
89;"5AKKUI";"VVL";"TE1";"A2.04";3;1;;
89;"5AKKUI";"VVL";"TE1";"A2.04";3;2;;
90;"6AKKUI";"VVL";"TE1";"A2.04";4;4;;
90;"6AKKUI";"VVL";"TE1";"A2.04";4;5;;
92;"5AHKUI";"VOG";"WIRE";"A2.13";3;7;;
92;"5AHKUI";"VOG";"WIRE";"A2.13";3;8;;
94;"2AFITN";"AMA";"NWT1";"B5.12";2;1;;
