"3BHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"A1.16";;;;;;;;;;"11";"2";;1;15;"8790";;;"Zlabinger";;;;;;1.00000;;"GRM";;0;
"4AHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"WAKL";;;;;;;;;;"12";"2";;8;14;"8690";;;"Zlabinger";;;;;;1.00000;;"BI";;0;
"4BHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"WAKL";;;;;;;;;;"12";"2";;6;15;"8690";;;"Zlabinger";;;;;;1.00000;;"SED";;0;
"5AHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"C3.06";;;;;;;;;;"13";"2";;5;15;"8790";;"20200503";"Zlabinger";;;;;;1.00000;;"FM";;0;
"5BHWIT";"HL f. Wirtschaftsingenieurwesen - Technisches Management";;"AH.26";;;;;;;;;;"13";"2";;2;15;"8790";;"20200503";"Zlabinger";;;;;;1.00000;;"HAU";;0;
"2AAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;"N";;;;;;;;;"51";"4s";"1000";6;24;"8167";"20200210";;"Berger";;;;;;1.00000;;"LEV";;0;
"2BAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;"N";;;;;;;;;"51";"4s";"1000";6;24;"8167";"20200210";;"Berger";;;;;;1.00000;;"KOL";;0;
"2CAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;"N";;;;;;;;;"51";"4s";"1000";6;24;"8167";"20200210";;"Berger";;;;;;1.00000;;"SWA";;0;
"3BAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;;;;;;;;;;"52";"4w";"1000";0;22;"8167";;"20200209";"Berger";;;;;;1.00000;;"BIG";;0;
"3CAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;;;;;;;;;;"52";"4w";"1000";2;19;"8167";;"20200209";"Berger";;;;;;1.00000;;"EN";;0;
"3BKIF";"Kolleg f. Informatik - Tag";"A";;;;;;;;;;;"21";"4w";"1000";12;12;"8242";;"20200209";"Berger";;;;;;1.00000;;"WES";;0;
"3AKIF";"Kolleg f. Informatik - Tag";"A";;;;;;;;;;;"21";"4w";"1000";17;12;"8242";;"20200209";"Berger";;;;;;1.00000;;"CHA";;0;
"4BAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;"N";;;;;;;;;"53";"4s";"1000";0;22;"8167";"20200210";;"Berger";;;;;;1.00000;;"BIG";;0;
"4CAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;"N";;;;;;;;;"53";"4s";"1000";2;19;"8167";"20200210";;"Berger";;;;;;1.00000;;"EN";;0;
"4BKIF";"Kolleg f. Informatik - Tag";"A";;"N";;;;;;;;;"22";"4s";"1000";12;12;"8242";"20200210";;"Berger";;;;;;1.00000;;"WES";;0;
"4AKIF";"Kolleg f. Informatik - Tag";"A";;"N";;;;;;;;;"22";"4s";"1000";17;12;"8242";"20200210";;"Berger";;;;;;1.00000;;"CHA";;0;
"5BAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;;;;;;;;;;"53";"4w";"1000";3;21;"8167";;"20200209";"Berger";;;;;;1.00000;;"BAM";;0;
"5CAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;;;;;;;;;;"53";"4w";"1000";3;24;"8167";;"20200209";"Berger";;;;;;1.00000;;"AT";;0;
"5AKIF";"Kolleg f. Informatik - Tag";"A";;;;;;;;;;;"23";"4w";"1000";11;15;"8242";;"20200209";"Berger";;;;;;1.00000;;"HIK";;0;
"6BAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;"N";;;;;;;;;"53";"4s";"1000";3;21;"8167";"20200210";;"Berger";;;;;;1.00000;;"BAM";;0;
"6CAIF";"Aufbaulehrgang f. Informatik - Tag";"A";;"N";;;;;;;;;"53";"4s";"1000";3;24;"8167";"20200210";;"Berger";;;;;;1.00000;;"AT";;0;
"6AKIF";"Kolleg f. Informatik - Tag";"A";;"N";;;;;;;;;"24";"4s";"1000";11;15;"8242";"20200210";;"Berger";;;;;;1.00000;;"HIK";;0;
"1AFITN";"FS f. Informationstechnik ";;"C2.14";;;;;;;;;;"9";"5";;4;28;"5836";;;"Hesina";;;;;;1.00000;;"NWV";;0;
"1BFITN";"FS f. Informationstechnik ";;"B5.11";;;;;;;;;;"9";"5";;0;32;"5836";;;"Hesina";;;;;;1.00000;;"IR";;0;
"2AFITN";"FS f. Informationstechnik ";;"B5.12";;;;;;;;;;"10";"5";;1;23;"5836";;;"Hesina";;;;;;1.00000;;"NAI";;0;
"3AFITM";"FS f. Informationstechnik ";;"WAKL";;;;;;;;;;"11";"5";;1;8;"5834";;;"Hesina";;;;;;1.00000;"3YFITN";"TK";;0;
"3AFITN";"FS f. Informationstechnik ";;"WAKL";;;;;;;;;;"11";"5";;0;10;"5836";;;"Hesina";;;;;;1.00000;"3YFITN";"TK";;0;
"4AFITM";"FS f. Informationstechnik ";;"WAKL";;;;;;;;;;"12";"5";;0;8;"5934";;"20200209";"Hesina";;;;;;1.00000;"4YFITM";"BOB";;0;
"4AFITN";"FS f. Informationstechnik ";;"WAKL";;;;;;;;;;"12";"5";;0;7;"5936";;"20200209";"Hesina";;;;;;1.00000;"4YFITM";"BOB";;0;
"1AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C2.10";;;;;;;;;;"9";"5a";;17;15;"8718";;;"Hesina";;;;;;1.00000;;"BAR";;0;
"1BHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C2.08";;;;;;;;;;"9";"5a";;14;18;"8718";;;"Hesina";;;;;;1.00000;;"MUE";;0;
"2AHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C2.09";;;;;;;;;;"10";"5a";;9;10;"8718";;;"Hesina";;;;;;1.00000;;"BW";;0;
"2BHBGM";"HL f. Biomedizin- und Gesundheitstechnik - Medizininformatik";;"C2.07";;;;;;;;;;"10";"5a";;7;16;"8718";;;"Hesina";;;;;;1.00000;;"CAM";;0;
